State,Item,Cropping,FarmNum,Time,CropNum,PlantHeight,NumberOfLeaves,LeafLength,LeafWidth,PetioleLength,StemDiameter,NumberOfFruits
BoRyeong ,Strawberry,1,17,2020-11-12,3,32.0,10.0,8.5,12.0,12.0,28.0,1.0
BoRyeong ,Strawberry,1,17,2020-11-12,4,23.0,9.0,8.2,13.0,13.0,28.7,4.0
BoRyeong ,Strawberry,1,17,2020-11-19,1,29.8,7.0,11.0,8.0,11.0,25.3,1.0
BoRyeong ,Strawberry,1,17,2020-11-19,2,34.0,6.0,12.0,8.5,8.0,27.2,3.0
BoRyeong ,Strawberry,1,17,2020-11-19,3,31.0,8.0,10.5,7.5,10.0,21.0,2.0
BoRyeong ,Strawberry,1,17,2020-11-19,4,24.0,8.0,10.0,7.0,11.0,23.5,8.0
BoRyeong ,Strawberry,1,17,2020-11-27,1,28.0,7.0,12.0,9.0,11.0,26.0,9.0
BoRyeong ,Strawberry,1,17,2020-11-27,2,32.0,6.0,12.0,8.0,8.0,27.2,9.0
BoRyeong ,Strawberry,1,17,2020-11-27,3,33.0,8.0,11.0,8.0,9.0,22.0,11.0
BoRyeong ,Strawberry,1,17,2020-11-27,4,25.0,8.0,11.0,8.0,12.0,23.6,8.0
BoRyeong ,Strawberry,1,17,2020-12-04,1,30.0,7.0,12.0,9.0,11.0,26.2,12.0
BoRyeong ,Strawberry,1,17,2020-12-04,2,33.0,7.0,13.0,7.0,9.0,27.3,11.0
BoRyeong ,Strawberry,1,17,2020-12-04,3,34.0,8.0,12.0,9.0,9.0,22.5,10.0
BoRyeong ,Strawberry,1,17,2020-12-04,4,27.0,9.0,11.0,11.0,12.0,23.7,11.0
BoRyeong ,Strawberry,1,17,2020-12-10,3,34.0,8.0,12.0,9.0,9.0,23.0,7.0
BoRyeong ,Strawberry,1,17,2020-12-10,4,28.0,8.0,11.0,12.0,12.0,23.8,10.0
BoRyeong ,Strawberry,1,17,2020-12-17,1,31.0,14.0,14.0,9.0,12.0,26.7,5.0
BoRyeong ,Strawberry,1,17,2020-12-17,2,33.0,12.0,12.0,8.0,9.0,28.1,8.0
BoRyeong ,Strawberry,1,17,2020-12-17,3,32.0,13.0,13.0,10.0,8.0,25.3,7.0
BoRyeong ,Strawberry,1,17,2020-12-17,4,29.0,12.0,12.0,9.0,11.0,25.2,10.0
BoRyeong ,Strawberry,1,17,2020-12-24,1,32.0,7.0,14.0,9.0,12.0,26.7,7.0
BoRyeong ,Strawberry,1,17,2020-12-24,2,32.0,7.0,16.0,8.0,12.0,30.2,8.0
BoRyeong ,Strawberry,1,17,2020-12-24,3,31.0,8.0,12.0,9.0,10.0,32.1,7.0
BoRyeong ,Strawberry,1,17,2020-12-24,4,36.0,7.0,14.0,9.0,11.0,28.3,10.0
BoRyeong ,Strawberry,1,17,2021-02-05,4,30.0,7.0,12.0,9.0,10.0,29.5,6.0
