feature,importance
ExTemperature_7d_min,0.18246041778608516
LeafLength,0.08828639128285189
LeafWidth,0.06607568067345615
PlantHeight,0.04881350193917148
ExTemperature_7d_mean,0.04847989308881198
StemDiameter,0.04223547811308574
OutInsolation_7d_max,0.03671640817037068
RemainCO2_7d_max,0.035892150556194324
OutInsolation_7d_mean,0.034903970379884935
PetioleLength,0.03425097455946043
OutInsolation_7d_min,0.03357266305679375
ExTemperature_7d_max,0.032168040612064464
InTemperature_7d_min,0.03143248472265355
NumberOfLeaves,0.029625168687288414
OutInsolation_7d_sum,0.027423894278988094
RemainCO2_7d_mean,0.026229078271567313
InHumidity_7d_min,0.024331511493476364
RemainCO2_7d_min,0.022484343114972535
CropNum,0.020456227803835356
InHumidity_7d_max,0.020133299833712575
SoilTemperature_7d_min,0.01995793465861272
InTemperature_7d_mean,0.019580493994160984
InHumidity_7d_mean,0.018421154801381106
SoilTemperature_7d_max,0.017427572134659473
InTemperature_7d_max,0.01710859924959171
FarmNum,0.010774226619686272
SoilTemperature_7d_mean,0.010264587093350413
EnvDataCount_7d,0.0004938530238320372
Cropping,0.0
