epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.0622,1.02009,2.2527,1.34166,0.52753,0.16249,0.12431,0.05795,1.90016,3.63078,2.11081,0.000331783,0.000331783,0.0671535
2,86.1153,0.9672,1.55801,1.29993,0.47923,0.46192,0.40948,0.23939,1.63769,2.30557,1.87052,0.000664467,0.000664467,0.0341528
3,127.564,0.94778,1.40222,1.29083,0.58327,0.5833,0.62578,0.39546,1.21465,1.52142,1.56687,0.000994552,0.000994552,0.00114959
4,169.1,0.90763,1.30645,1.26769,0.55544,0.62242,0.64309,0.43648,1.09497,1.37632,1.41781,0.000991232,0.000991232,0.000991232
5,210.375,0.88237,1.22462,1.24158,0.6792,0.64408,0.68605,0.47627,1.005,1.39277,1.37746,0.000984449,0.000984449,0.000984449
6,251.339,0.85339,1.15457,1.22185,0.73241,0.65727,0.73814,0.52764,0.96382,1.11839,1.35649,0.000975773,0.000975773,0.000975773
7,292.263,0.82446,1.10055,1.20485,0.70815,0.66213,0.71901,0.52569,0.92535,1.05003,1.33569,0.000965239,0.000965239,0.000965239
8,334.539,0.80731,1.05788,1.196,0.7354,0.62851,0.70939,0.51243,0.96628,1.12552,1.34473,0.000952889,0.000952889,0.000952889
9,376.471,0.79088,1.04296,1.17768,0.74383,0.71058,0.7585,0.55126,0.94864,1.02712,1.31664,0.000938772,0.000938772,0.000938772
10,418.031,0.78655,1.00376,1.1754,0.73744,0.71842,0.78088,0.55997,0.91866,1.0049,1.28137,0.000922942,0.000922942,0.000922942
11,459.452,0.76763,0.95898,1.15964,0.74063,0.76805,0.81422,0.60414,0.86521,0.87499,1.22669,0.000905463,0.000905463,0.000905463
12,500.419,0.75349,0.9476,1.15025,0.7599,0.69117,0.76162,0.57079,0.84778,0.95309,1.21879,0.000886404,0.000886404,0.000886404
13,540.808,0.75531,0.94159,1.15817,0.8368,0.69276,0.79358,0.59056,0.83462,0.93302,1.21886,0.000865839,0.000865839,0.000865839
14,581.899,0.73118,0.89354,1.1307,0.82796,0.7317,0.82204,0.62011,0.82133,0.81247,1.19929,0.000843851,0.000843851,0.000843851
15,623.334,0.72586,0.86563,1.135,0.83801,0.75947,0.84651,0.63747,0.83167,0.77409,1.18744,0.000820525,0.000820525,0.000820525
16,664.533,0.70802,0.84306,1.11413,0.76064,0.78588,0.81812,0.62263,0.78974,0.78238,1.1511,0.000795954,0.000795954,0.000795954
17,705.556,0.70095,0.83757,1.11553,0.82602,0.80258,0.85772,0.66703,0.7581,0.7074,1.13042,0.000770234,0.000770234,0.000770234
18,746.026,0.69802,0.8172,1.11764,0.80799,0.77738,0.8466,0.65547,0.7436,0.73167,1.12671,0.000743468,0.000743468,0.000743468
19,786.921,0.67784,0.79093,1.1,0.80118,0.80426,0.86197,0.66929,0.74257,0.7331,1.11785,0.000715761,0.000715761,0.000715761
20,828.039,0.67492,0.78873,1.10162,0.79539,0.83642,0.87122,0.67962,0.73663,0.72366,1.12177,0.000687222,0.000687222,0.000687222
21,869.266,0.66243,0.76554,1.08645,0.85248,0.80847,0.88632,0.70024,0.69508,0.63806,1.08476,0.000657963,0.000657963,0.000657963
22,910.617,0.65318,0.7393,1.08471,0.80874,0.79864,0.85921,0.69428,0.67599,0.68746,1.06272,0.000628101,0.000628101,0.000628101
23,952.057,0.65553,0.73409,1.08252,0.846,0.83802,0.88982,0.69787,0.71038,0.63803,1.07614,0.000597754,0.000597754,0.000597754
24,992.823,0.63386,0.71329,1.07209,0.84911,0.80387,0.87726,0.69615,0.68341,0.62861,1.06457,0.00056704,0.00056704,0.00056704
25,1034.08,0.63525,0.70006,1.07205,0.87213,0.84142,0.89574,0.70453,0.6897,0.60974,1.06215,0.000536081,0.000536081,0.000536081
26,1075.32,0.62628,0.69645,1.06705,0.86153,0.83445,0.89645,0.72556,0.65184,0.58619,1.03347,0.000505,0.000505,0.000505
27,1116.12,0.61469,0.66925,1.05872,0.8687,0.8505,0.91233,0.73196,0.65605,0.57371,1.04193,0.000473919,0.000473919,0.000473919
28,1156.41,0.60944,0.66622,1.05349,0.90427,0.84269,0.91708,0.73707,0.6544,0.54211,1.03811,0.00044296,0.00044296,0.00044296
29,1197.29,0.60236,0.64201,1.04798,0.894,0.86477,0.92039,0.74415,0.64013,0.5279,1.0309,0.000412246,0.000412246,0.000412246
30,1238.76,0.59623,0.64338,1.04165,0.89235,0.86103,0.92252,0.74137,0.63961,0.54697,1.02889,0.000381899,0.000381899,0.000381899
31,1280.15,0.59531,0.62462,1.04463,0.88486,0.88942,0.92493,0.74971,0.62887,0.52594,1.01143,0.000352037,0.000352037,0.000352037
32,1321.75,0.58267,0.61841,1.03812,0.8949,0.87193,0.926,0.75116,0.61826,0.51514,1.00494,0.000322778,0.000322778,0.000322778
33,1363.2,0.57795,0.59325,1.03523,0.90928,0.88338,0.93422,0.76996,0.58648,0.48926,0.98693,0.000294239,0.000294239,0.000294239
34,1404.96,0.56639,0.58402,1.02466,0.91939,0.87915,0.93415,0.76775,0.59521,0.48343,0.9861,0.000266532,0.000266532,0.000266532
35,1446.37,0.56252,0.57736,1.02549,0.89561,0.88957,0.93611,0.77222,0.59623,0.4831,0.99144,0.000239766,0.000239766,0.000239766
36,1488.23,0.56191,0.591,1.031,0.89905,0.88065,0.93389,0.77526,0.58573,0.48485,0.98183,0.000214046,0.000214046,0.000214046
37,1529.71,0.55305,0.56177,1.02052,0.89331,0.89592,0.93903,0.78616,0.5737,0.45992,0.97274,0.000189475,0.000189475,0.000189475
38,1570.9,0.54098,0.55244,1.01307,0.92261,0.88476,0.9403,0.78447,0.56889,0.4595,0.96853,0.000166149,0.000166149,0.000166149
39,1612.02,0.54584,0.54783,1.01491,0.88994,0.90617,0.94717,0.78894,0.56635,0.44751,0.96945,0.000144161,0.000144161,0.000144161
40,1653.14,0.53948,0.5336,1.01373,0.90583,0.9096,0.94717,0.79056,0.56641,0.44983,0.96713,0.000123596,0.000123596,0.000123596
41,1694.33,0.48061,0.4727,0.99435,0.91856,0.87849,0.94198,0.78759,0.56578,0.4525,0.96599,0.000104537,0.000104537,0.000104537
42,1734.25,0.46863,0.43737,0.98683,0.92323,0.89003,0.94919,0.79726,0.55816,0.43821,0.96057,8.70577e-05,8.70577e-05,8.70577e-05
43,1773.85,0.45542,0.41452,0.97278,0.93119,0.8989,0.95073,0.79825,0.55321,0.4283,0.95576,7.12282e-05,7.12282e-05,7.12282e-05
44,1813.51,0.45658,0.41878,0.98199,0.93015,0.90054,0.94865,0.80283,0.54694,0.42197,0.94994,5.71106e-05,5.71106e-05,5.71106e-05
45,1853.35,0.44409,0.40231,0.9698,0.93555,0.88656,0.94826,0.80495,0.5426,0.42013,0.94264,4.47606e-05,4.47606e-05,4.47606e-05
46,1893.25,0.44194,0.38972,0.96806,0.92415,0.89561,0.94797,0.80744,0.53572,0.41799,0.94339,3.4227e-05,3.4227e-05,3.4227e-05
47,1933.03,0.44185,0.39072,0.96604,0.94415,0.88939,0.9524,0.81138,0.53749,0.40902,0.94597,2.55513e-05,2.55513e-05,2.55513e-05
48,1972.59,0.44046,0.38981,0.96881,0.93399,0.89623,0.9518,0.81346,0.53333,0.4075,0.93916,1.87678e-05,1.87678e-05,1.87678e-05
49,2012.25,0.42923,0.38139,0.95968,0.93898,0.89607,0.95063,0.81113,0.53409,0.40926,0.94049,1.39032e-05,1.39032e-05,1.39032e-05
50,2052.15,0.42796,0.38078,0.96096,0.93643,0.89299,0.95081,0.81287,0.53279,0.4076,0.94089,1.09768e-05,1.09768e-05,1.09768e-05
